Glubina manometra;Dsht;Rzab;Rzab.1;Tzab;Tlin;Debit gaza;Debit st. kond.;Debit vody;Debit smesi;Debit gaaz;Debit kon nestabil'nyj;Debit vody.1;Rpl. Tek (posled tochka na KVD);Psb;Udel'naya plotnost' gaza ;G_total;KGF
3576.3;7.94;370.1;359.6;103.2;32.5;214.7;83.6;0.4;231.25;1610.37;131.3;0.4;45.25;93.6;0.6694;2.78;311.91
3576.3;9.53;364.6;338.1;103;38.6;290.59;104.7;1.4;309;2310.23;158.5;1.4;45.25;92.9;0.6694;3.7;288.6
3576.3;11.11;357.1;314.8;102.6;43.4;368.04;114.3;1.9;388.11;3039.49;172.3;1.9;45.25;91.4;0.6694;4.52;248.79
3576.3;12.7;347.4;291.5;102;46.1;434.66;121.3;3.3;455.21;3824.08;181.5;3.3;45.25;89.2;0.6694;5.22;223.56
3576.3;14.29;337.7;270.3;104.4;49.9;483.28;129.8;4.6;504.59;4299.1;190.6;4.7;45.25;89.7;0.6694;5.77;215.15
3576.3;9.53;286.4;286.6;102.64;38.98;251.7;76.8;0.6;268.9;1921;119;0.6;41.22;90.7;0.675;3.08;241.13
3667;7.94;354.33;354.2;105.3;33;234.86;56.07;0;261.28;1807.4;90.4;0;38.74;100.9;0.66;;188
3667;9.53;350.2;349.1;105.2;39.06;326.22;73.89;0;362.08;2532.4;118;0;38.74;100.1;0.66;;178
3667;11.11;344;344.1;105.2;44.9;429.72;92.13;1.01;476.2;3392.3;146;1;38.74;102;0.66;;169
3667;12.7;336.7;343;105.1;49.84;532.28;109.81;1.38;589.14;4228.8;175.5;1.4;38.74;103.8;0.66;;162
3579;7.94;365.86;365.9;105.9;28.09;243.64;70.73;1.14;257.64;1713.8;117.3;1.2;41.23;93.2;0.66;;230
3579;9.53;342.27;342.3;105.7;35.1;313.85;79.58;1.66;327.84;2353.5;129.7;1.7;41.23;92;0.66;;201
3579;11.11;312.27;312.3;105.2;41.11;395;85.5;2.59;410.02;3085.5;139.7;2.7;41.23;93.7;0.66;;172
3579;12.7;291.74;291.7;104.5;44.14;435.04;86.21;3.16;449.65;3534.4;137.7;3.2;41.23;89.6;0.66;;157
3579;14.29;263.03;263;103.4;49.75;494.59;88.07;3.51;509.05;4071.6;142.2;3.6;41.23;90.3;0.66;;141
3582.5;9.53;292;292;104.6;37.79;273.4;59.9;0.8;285.54;2085;94;0.7;;92.1;0.67;;172
3653;7.94;440.5;442.7;105.42;16.2;310.78;150.07;1.2;337.72;1784;492.8;2.5;53.27;99.4;0.654;4.23;385.42
3653;9.53;388.7;388.6;105.32;22.03;375.37;138.98;0.86;398.4;3127;238.3;1;53.27;99.7;0.654;4.71;295.5
3653;12.7;308.8;308.7;105.22;35.41;473.78;151.79;0.7;496.81;3895.7;245;0.8;53.27;99.2;0.654;5.73;255.68
3653;14.29;270.5;270.4;105.12;33.83;488.09;143.15;0.43;509.73;5129;221.2;0.4;53.27;98.9;0.654;5.78;233.96
3653;15.88;239.3;239.3;105.02;37.26;492.51;137.68;0.41;513.33;5235.6;209.7;0.4;53.27;100.8;0.654;5.76;223.11
3653;14.29;251.3;285.3;100.21;31.99;459.31;114.88;0.34;476.68;5209.5;172.5;0.3;53.27;97;0.654;5.25;199.63
3653;11.11;296.8;296.8;102.38;24.8;355.02;109.27;0.33;371.54;3705.5;164;0.3;53.27;98;0.654;4.25;245.68
3650;7.94;458.6;458.5;105.6;31.18;287.95;106.66;0.49;306.24;2519.8;163;0.5;47.33;89.6;0.6822;3.72;294.59
3650;9.53;452.8;452.7;105.49;40.51;402.79;143.01;2.18;429.88;3517.8;218.9;2.2;47.33;85.5;0.6822;5.17;282.24
3650;12.7;437.3;437.2;105.47;51.38;654.56;230.98;4.56;692.79;5599.8;354.6;4.7;47.33;93.8;0.6822;8.4;280.56
3650;14.29;426.2;426.1;105.42;52.76;742.11;272.77;6.25;787.26;6020.6;421.6;6.4;47.33;92.3;0.6822;9.64;292.24
3650;15.87;414;413.9;105.36;55.51;846.82;302.62;8.34;896.91;6943.1;469.6;8.1;47.33;87.7;0.6822;10.93;284.08
3650;14.29;414.8;414.7;105.35;53.13;720.27;262.01;6.01;763.64;5914.3;401.1;6.1;47.33;96.3;0.6822;9.33;289.18
3650;11.11;424.5;424.5;105.37;44.88;497.16;179.76;3.29;526.91;4204.5;274;3.3;47.33;88.2;0.6822;6.42;287.52
3653;9.53;403.4;402.9;104.42;42.44;366.22;118.28;1.47;388.18;2724.6;184.3;1.5;43.4;88.8;0.684;4.59;254.84
3653;11.11;399.2;396.6;104.42;49.18;470.29;145.03;2.27;495.85;3324.9;229.5;2.3;43.4;87.4;0.684;5.83;243.23
-;14.29;-;-;-;52.22;601.5;167.1;1;629.44;5020;254;1;-;90.8;0.6847;7.28;219.04
3572;6.35;341.5;345;104.9;26.5;148.2;40;0;-;1768.6;98.2;0;38.59;94.8;0.662;;270
3572;9.53;330;328.7;104.7;38.5;304.63;76.6;0;-;2315.9;122.1;0;38.59;94.8;0.662;;251
3572;11.11;316;316.1;104.6;45;389.86;91.8;1.1;-;2998.1;143.5;1.2;38.59;103.6;0.662;;236
3572;12.7;301.6;329.7;104.5;48.2;472.62;102.3;2.4;-;4013.4;158.9;2.4;38.59;98;0.662;;217
3588.5;7.94;359.9;359.9;105.1;33.2;235.78;59.6;1.3;247.23;1839.2;94.7;1.2;40.39;97.6;0.68;;200
3588.5;9.53;346.9;346.9;104.88;39;326.31;74;2.6;340.13;2690.92;119.1;2.7;40.39;95.5;0.68;;180
3588.5;11.11;330.5;330.5;104.5;43.3;415.32;88.7;3.8;429.84;3706.49;138.7;3.9;40.39;90.3;0.68;;169
3588.5;12.7;314.2;314.2;104;47.8;489.67;98.6;4.7;506.46;4437.44;159.2;4.9;40.39;92;0.68;;160
3588.5;14.29;297.5;297.5;103.4;51.2;554.81;109.1;5.7;571.84;5035.74;170.4;5.8;40.39;93.2;0.68;;156
3588.5;12.7;306.9;306.8;103.76;48.2;490.36;94.7;4.5;505.13;4386.75;149.6;4.6;40.39;92.5;0.68;;153
-;9.53;-;-;-;37.54;285;55.4;0.5;296.33;2291;91;0.5;;92.9;0.67;;152
3478.5;9.53;347;345.7;106.51;35.29;347.86;67.79;5.49;360.53;3019.1;104;5.6;39.49;87.9;0.67;;152
3478.5;11.11;342;335.4;106.48;40.52;448.2;79.32;5.45;462.62;4002.5;122.7;5.6;39.49;87.9;0.67;;138
-;12.7;-;-;-;48.37;479.1;80.9;0.7;492.6;4109;416;0.7;-;93;0.67;;131
3640.5;6.35;403;404.8;104;22.45;182.45;49.43;0.32;191.76;1239.4;80;0.3;42.86;102.4;0.68;;212
3640.5;9.53;396.6;397.3;107.07;36.27;383.72;93.85;0.45;401.39;2827.3;151.9;0.4;42.86;97;0.68;;194
3640.5;11.11;390;390.1;105;42.72;498.6;117.47;1.11;520.72;3817.5;185.2;1.1;42.86;103.7;0.68;;187
3640.5;12.7;384.4;381.3;104.9;47.99;612.21;139.53;0.65;638.48;4835;222.6;0.7;42.86;103.8;0.68;;180
3667;7.94;362.8;362.9;105.54;26.44;243.22;61.33;1.37;255.25;1924.9;101.5;1.3;39.02;93.1;0.67;;198
3667;9.53;359.3;359.3;105.57;33.69;353.22;77.99;3.5;366.86;2856.2;123.1;3.5;39.02;92.8;0.67;;174
3667;11.11;354;354;105.56;39.67;451.48;98.2;3.89;468.66;3766.5;154;3.9;39.02;94.8;0.67;;171
3667;12.7;348.1;348.1;105.51;44.07;537.87;113.09;5.19;557.65;4529.6;176.6;5.3;39.02;95.2;0.67;;165
3667;14.29;340;340;105.44;48.17;653.03;134.34;6.58;676.53;5557.8;206;6.6;39.02;96;0.67;;162
3670;12.7;336.3;333.1;105.04;44.74;503.75;134.48;6.66;528.67;4152;195.9;6.7;37.19;95.8;0.67;;140
3668.5;9.53;340;339.8;104.85;33.51;338.63;66.59;1.39;350.55;2868.6;105.2;1.4;36.75;88.8;0.66;;154
3668.5;11.11;334;331.7;104.83;39.29;432.74;77.91;2.02;445.72;3773;122.8;2;36.75;88.1;0.66;;141
3668.5;12.7;326;324;104.74;42.91;514.1;91.24;2.8;528.93;4590.3;142.1;2.7;36.75;88.8;0.66;;139
3668.5;14.29;318;312.5;104.64;46.72;608.78;102.94;3.23;625.49;5452.4;161.1;3.3;36.75;88.9;0.66;;132
3424.5;6.35;316.1;316.2;106.2;23.66;128.37;39.74;0.6;136.82;884;68.9;0.5;37.21;101.8;0.65;;241
3424.5;9.53;281.5;275.9;106.4;36.56;244.58;67.58;1.4;259.2;1867;120.4;1.4;37.21;103.6;0.65;;216
3424.5;11.11;257.9;258;106.47;42.63;295.81;71.29;2.18;311.24;2445;123.9;2.3;37.21;102.6;0.65;;191
3424.5;12.7;236.5;237.8;106.4;48.02;330.5;74.59;2.5;346.64;2869;126.4;2.6;37.21;103.9;0.65;;177
3424.5;14.3;221.2;221.3;106.7;50.58;346.7;73.12;2.55;362.52;3112;121.4;2.6;37.21;104;0.65;;164
3437;7.5;305.56;305.6;106.5;25.9;162.15;45.4;0.6;172.04;1168;79;0.5;36.46;99.8;0.68;;219
3437;7.94;298.69;298.7;106.6;28.5;189.82;52.8;1;201.32;1401;93.1;1;36.46;99.8;0.68;;218
3437;9.53;278.23;278.2;106.6;36.3;250.43;63.9;1.5;264.35;1996;110.8;1.6;36.46;100.1;0.68;;200
3437;11.11;256.21;256.2;106.5;41;305.59;63;1.7;319.31;2545;115.5;1.9;36.46;100.1;0.68;;161
3437;12.7;234.19;234.2;106.4;46.2;344.29;69;0.9;359.32;3043;113.2;1;36.46;100.3;0.68;;157
3437;14.29;216.9;216.8;106.43;49.7;360.23;71.1;0.8;375.72;3320;116.8;0.8;36.46;100.7;0.68;;154
3440;7.94;174;174;102.55;25.94;145.68;33.94;0.24;154.32;1187;60.9;0.2;29.17;90;0.57;;180
3440;7.94;228.46;229.1;102.51;25.81;145.72;33.63;0.24;154.29;1168;60.1;0.2;29.17;90.4;0.57;;178
3440;7.94;228.1;231.4;102.07;26.24;144.77;33.85;0.24;153.39;1172;59.8;0.2;29.17;90.7;0.57;;180
